date,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),OT
2001-06-03,55349.57,4.31,171.98,0.01,10.89,5.27,897.97,698
2001-06-04,55562.34,4.316666666666666,332.48,0.022752808988764046,13.4,5.02,881.31,737
2001-06-05,55641.6,4.323333333333333,478.1,0.03550561797752809,17.3,3.0,764.32,739
2001-06-06,55641.6,4.33,505.56,0.04825842696629214,20.17,3.47,777.86,706
2001-06-07,55642.21,4.336666666666667,511.51,0.061011235955056184,21.33,3.87,792.82,648
2001-06-08,55761.96,4.343333333333334,505.23,0.07376404494382023,22.33,5.26,872.66,583
2001-06-09,55907.94,4.35,349.38,0.08651685393258428,20.62,6.31,948.81,530
2001-06-10,55983.11,5.14,358.18,0.09926966292134833,20.43,5.48,903.51,502
2001-06-11,55987.2,6.99,264.59,0.11202247191011237,21.57,11.86,1388.56,513
2001-06-12,55987.2,4.26,283.8,0.12477528089887642,23.68,12.96,1476.46,529
2001-06-13,55987.2,5.703333333333333,474.88,0.13752808988764045,25.26,9.9,1212.39,544
2001-06-14,55987.81,7.1466666666666665,433.27,0.1502808988764045,28.69,14.86,1690.95,530
2001-06-15,55999.43,8.59,314.32,0.16303370786516855,29.05,15.65,1771.62,495
2001-06-16,56040.77,7.61,322.62,0.1757865168539326,24.36,11.28,1342.45,499
2001-06-17,56107.56,4.06,341.38,0.18853932584269664,22.29,8.34,1107.28,497
2001-06-18,56184.73,2.86,318.89,0.2012921348314607,20.08,8.73,1138.03,503
2001-06-19,56184.73,9.91,236.7,0.21404494382022474,21.46,13.25,1519.82,508
2001-06-20,56253.54,5.275,475.31,0.22679775280898878,22.49,7.9,1072.36,526
2001-06-21,56253.54,0.64,437.08,0.23955056179775283,20.73,8.03,1082.31,544
2001-06-22,56253.54,0.94,374.18,0.2523033707865169,18.98,8.36,1108.63,617
2001-06-23,56184.73,0.8216666666666667,513.89,0.2650561797752809,22.35,4.8,861.98,665
2001-06-24,56184.73,0.7033333333333334,483.52,0.2778089887640449,25.2,9.1,1167.96,644
2001-06-25,56184.73,0.585,449.35,0.29056179775280894,27.33,12.65,1451.82,611
2001-06-26,56107.56,0.4666666666666667,405.31,0.30331460674157296,28.12,15.35,1747.62,561
2001-06-27,56040.77,0.34833333333333333,382.38,0.316067415730337,28.93,17.0,1920.0,501
2001-06-28,55999.43,0.23,432.66,0.328820224719101,28.56,14.19,1622.47,460
2001-06-29,55987.81,0.595,431.61,0.341573033707865,29.29,14.96,1706.08,420
2001-06-30,55987.2,0.96,404.62,0.35432584269662903,29.53,16.56,1877.53,367
2001-07-01,55987.2,1.325,508.63,0.36707865168539305,24.9,6.49,961.51,319
2001-07-02,55987.2,1.69,487.88,0.3798314606741571,18.08,2.06,708.39,304
2001-07-03,55956.77,2.0549999999999997,393.71,0.3925842696629211,21.0,9.11,1168.89,274
2001-07-04,55839.13,2.42,300.9,0.4053370786516851,20.46,10.63,1290.61,253
2001-07-05,55653.83,2.41,362.98,0.41808988764044913,18.09,6.11,934.61,241
2001-07-06,55641.6,4.825,478.18,0.43084269662921315,20.6,4.64,851.71,241
2001-07-07,55641.6,7.24,295.55,0.44359550561797717,24.36,12.2,1415.63,233
2001-07-08,55637.52,7.1537500000000005,479.63,0.4563483146067412,26.4,9.44,1190.31,228
2001-07-09,55493.54,7.067500000000001,462.13,0.4691011235955052,27.78,11.58,1366.32,225
2001-07-10,55308.23,6.981250000000001,477.61,0.48185393258426923,26.19,9.25,1176.75,210
2001-07-11,55296.0,6.8950000000000005,388.84,0.49460674157303325,20.83,9.11,1168.92,201
2001-07-12,55291.91,6.80875,419.07,0.5073595505617973,20.13,7.15,1011.98,194
2001-07-13,55147.93,6.7225,440.9,0.5201123595505613,22.17,7.91,1071.64,188
2001-07-14,54951.0,6.63625,503.41,0.5328651685393254,27.0,7.58,1000.89,185
2001-07-15,54950.4,6.55,320.28,0.5456179775280895,24.65,10.51,1280.71,183
2001-07-16,54871.14,12.09,130.03,0.5583707865168536,19.52,14.73,1676.59,191
2001-07-17,54617.03,5.21,158.82,0.5711235955056176,20.25,14.4,1632.72,211
2001-07-18,54604.8,1.79,295.83,0.5838764044943817,23.31,14.78,1684.55,236
2001-07-19,54574.38,4.92,280.19,0.5966292134831458,23.23,13.92,1590.97,248
2001-07-20,54271.43,6.92,253.89,0.6093820224719099,25.08,16.0,1806.48,257
2001-07-21,54259.2,11.245000000000001,371.97,0.6221348314606739,28.88,17.02,1927.75,252
2001-07-22,54179.94,15.57,275.78,0.634887640449438,29.79,17.88,2057.43,266
2001-07-23,53914.21,13.231666666666667,337.52,0.6476404494382021,29.55,19.0,2200.86,330
2001-07-24,53913.6,10.893333333333334,349.06,0.6603932584269662,27.92,17.28,1970.14,350
2001-07-25,53688.36,8.555,360.8,0.6731460674157302,22.66,12.34,1426.83,346
2001-07-26,53568.0,6.216666666666667,393.01,0.6858988764044943,22.15,10.67,1293.77,326
2001-07-27,53537.57,3.8783333333333334,493.23,0.6986516853932584,22.72,5.45,901.13,311
2001-07-28,53223.0,1.54,381.52,0.7114044943820225,22.94,11.71,1376.99,290
2001-07-29,53222.4,2.65,217.43,0.7241573033707865,21.28,14.48,1638.29,285
2001-07-30,52930.37,2.9979999999999998,437.94,0.7369101123595506,25.07,11.09,1327.36,287
2001-07-31,52876.8,3.3459999999999996,414.88,0.7496629213483147,27.65,14.47,1640.17,287
2001-08-01,52728.73,3.6939999999999995,336.22,0.7624157303370788,29.47,19.36,2257.73,283
2001-08-02,52531.2,4.042,304.76,0.7751685393258428,27.48,18.76,2163.06,268
2001-08-03,52500.77,4.39,438.22,0.7879213483146069,26.47,12.31,1424.55,263
2001-08-04,52185.6,4.7379999999999995,466.18,0.800674157303371,28.92,12.13,1407.26,261
2001-08-05,52181.52,5.085999999999999,407.5,0.8134269662921351,30.51,16.94,1915.75,255
2001-08-06,51840.0,5.433999999999999,353.49,0.8261797752808991,31.94,20.5,2400.0,239
2001-08-07,51840.0,5.782,393.47,0.8389325842696632,32.08,18.87,2178.57,231
2001-08-08,51494.4,6.13,275.74,0.8516853932584273,30.7,19.02,2203.88,235
2001-08-09,51494.4,7.42,262.05,0.8644382022471914,29.55,18.93,2191.02,237
2001-08-10,51148.8,5.58,398.16,0.8771910112359554,25.55,13.51,1559.49,231
2001-08-11,51148.8,3.74,484.47,0.8899438202247195,23.16,6.06,934.41,233
2001-08-12,50803.2,1.9000000000000001,460.47,0.9026966292134836,25.63,9.74,1205.9,224
2001-08-13,50803.2,0.06,438.14,0.9154494382022477,23.42,9.47,1197.84,214
2001-08-14,50457.6,1.405,476.87,0.9282022471910117,23.57,6.66,971.72,217
2001-08-15,50457.6,2.75,319.02,0.9409550561797758,25.8,14.24,1623.0,217
2001-08-16,50112.0,15.06,221.34,0.9537078651685399,22.93,14.52,1642.78,218
2001-08-17,50112.0,35.63,149.92,0.966460674157304,20.14,14.77,1683.78,335
2001-08-18,49766.4,32.46625,396.22,0.979213483146068,22.54,10.19,1255.02,501
2001-08-19,49735.97,29.302500000000002,405.73,0.9919662921348321,24.15,10.91,1312.4,595
2001-08-20,49420.8,26.13875,384.83,1.004719101123596,24.38,12.07,1405.63,613
2001-08-21,49272.73,22.975,451.76,1.0174719101123602,25.56,8.68,1134.16,583
2001-08-22,49075.2,19.81125,344.4,1.0302247191011242,25.51,14.55,1651.67,510
2001-08-23,48741.83,16.6475,302.8,1.0429775280898883,24.18,14.94,1703.43,438
2001-08-24,48729.6,13.48375,377.91,1.0557303370786524,23.13,10.85,1307.91,401
2001-08-25,48384.0,10.32,273.52,1.0684831460674165,22.85,12.71,1457.59,370
2001-08-26,48384.0,21.62,216.05,1.0812359550561805,23.53,14.89,1696.35,402
2001-08-27,48038.4,16.817500000000003,410.16,1.0939887640449446,24.5,10.17,1253.29,464
2001-08-28,48038.4,12.015000000000002,391.01,1.1067415730337087,23.43,10.08,1246.07,495
2001-08-29,47692.8,7.212500000000001,417.66,1.1194943820224728,24.0,8.74,1139.58,508
2001-08-30,47544.73,2.41,294.31,1.1322471910112368,24.95,14.19,1616.85,481
2001-08-31,47347.2,6.67,256.45,1.145000000000001,22.88,11.68,1374.68,453
2001-09-01,47001.6,3.985,381.57,1.157752808988765,17.76,5.08,886.76,446
2001-09-02,47001.6,1.3,387.1,1.170505617977529,21.17,7.66,1052.99,432
2001-09-03,46656.0,0.98,295.28,1.1832584269662931,24.44,14.87,1699.05,386
2001-09-04,46656.0,1.1075,357.28,1.1960112359550572,23.45,11.25,1340.28,358
2001-09-05,46310.4,1.2349999999999999,423.95,1.2087640449438213,22.35,5.67,913.76,346
2001-09-06,46085.16,1.3624999999999998,379.72,1.2215168539325854,25.13,10.98,1318.75,325
2001-09-07,45964.8,1.49,258.62,1.2342696629213494,25.09,15.78,1782.61,308
2001-09-08,45619.2,7.5,149.92,1.2470224719101135,24.69,18.23,2096.81,294
2001-09-09,45619.2,15.05,220.11,1.2597752808988776,23.5,13.75,1572.31,285
2001-09-10,45273.6,30.43,181.62,1.2725280898876417,18.71,11.37,1349.61,357
2001-09-11,45273.6,4.2,288.46,1.2852808988764057,20.48,7.43,1034.73,445
2001-09-12,44928.0,9.48,230.47,1.2980337078651698,19.39,9.61,1208.87,509
2001-09-13,44582.4,7.8180000000000005,358.81,1.3107865168539339,16.73,4.82,865.66,545
2001-09-14,44582.4,6.156000000000001,376.58,1.323539325842698,16.36,3.25,779.57,557
2001-09-15,44236.8,4.494000000000001,389.95,1.336292134831462,18.03,3.35,785.81,536
2001-09-16,44236.8,2.8320000000000003,390.43,1.349044943820226,20.33,4.67,853.46,501
2001-09-17,43891.2,1.17,263.77,1.3617977528089902,19.36,10.04,1243.46,460
2001-09-18,43545.6,3.37,156.08,1.3745505617977543,17.51,11.71,1376.96,426
2001-09-19,43545.6,21.46,89.17,1.3873033707865183,16.39,12.88,1470.79,397
2001-09-20,43200.0,27.13,96.37,1.4000561797752824,16.67,12.95,1479.82,524
2001-09-21,43200.0,11.7,118.01,1.4128089887640465,14.72,10.22,1257.3,790
2001-09-22,42854.4,4.07,268.35,1.4255617977528106,18.28,6.87,989.22,943
2001-09-23,42854.4,21.16,236.23,1.4383146067415746,17.37,6.82,985.38,1040
2001-09-24,42508.8,9.43,130.07,1.4510674157303387,10.22,5.3,903.9,1180
2001-09-25,42163.2,0.37,219.81,1.4638202247191028,9.7,3.21,776.97,1300
2001-09-26,42163.2,7.26,154.13,1.4765730337078669,10.33,4.48,838.39,1440
2001-09-27,41817.6,8.212857142857143,215.89,1.489325842696631,11.87,5.68,917.94,1510
2001-09-28,41817.6,9.165714285714285,325.68,1.502078651685395,14.38,3.5,792.05,1530
2001-09-29,41472.0,10.118571428571428,376.83,1.514831460674159,18.0,1.59,687.85,1510
2001-09-30,41126.4,11.071428571428571,355.42,1.5275842696629232,19.34,4.75,859.98,1450
2001-10-01,41126.4,12.024285714285714,327.96,1.5403370786516872,19.5,7.0,999.85,1350
2001-10-02,40780.8,12.977142857142857,330.23,1.5530898876404513,19.56,6.64,972.37,1260
2001-10-03,40780.8,13.93,179.88,1.5658426966292154,17.91,10.01,1240.71,1180
2001-10-04,40435.2,3.3,223.71,1.5785955056179795,15.95,6.05,933.69,1130
2001-10-05,40314.84,4.84,235.11,1.5913483146067435,14.4,2.93,755.96,1070
2001-10-06,40089.6,3.67,224.87,1.6041011235955076,9.81,-0.38,593.53,1010
2001-10-07,39744.0,3.05,193.74,1.6168539325842717,5.8,-2.38,514.55,957
2001-10-08,39744.0,3.275,349.52,1.6296067415730358,10.91,-5.0,430.93,918
2001-10-09,39398.4,3.5,186.26,1.6423595505617998,15.21,6.53,965.85,884
2001-10-10,39398.4,10.57,137.93,1.655112359550564,16.48,10.3,1264.36,893
2001-10-11,39052.8,4.06,165.26,1.667865168539328,16.61,8.98,1158.7,959
2001-10-12,38855.27,7.15,228.71,1.680617977528092,15.87,2.95,761.23,1010
2001-10-13,38707.2,12.88,136.58,1.6933707865168561,12.7,6.69,978.62,1160
2001-10-14,38361.6,43.88,142.78,1.7061235955056202,14.55,8.17,1093.8,1680
2001-10-15,38361.6,9.74,169.16,1.7188764044943843,12.24,4.55,847.25,2150
2001-10-16,38016.0,8.33,195.19,1.7316292134831484,9.63,0.44,630.39,2480
2001-10-17,38016.0,5.903333333333333,222.13,1.7443820224719124,7.48,0.14,615.44,2680
2001-10-18,37670.4,3.4766666666666666,304.72,1.7571348314606765,10.85,-3.05,486.48,2800
2001-10-19,37658.17,1.05,279.95,1.7698876404494406,12.35,0.13,616.12,2760
2001-10-20,37324.8,1.34,258.42,1.7826404494382047,14.43,2.76,749.4,2660
2001-10-21,37127.27,3.44,217.67,1.7953932584269687,13.97,2.13,711.76,2520
2001-10-22,36979.2,4.295,279.38,1.8081460674157328,12.11,-1.51,548.03,2370
2001-10-23,36664.03,5.15,156.68,1.8208988764044969,12.17,3.71,798.8,2210
2001-10-24,36633.6,11.41,110.61,1.833651685393261,12.34,6.64,972.46,2060
2001-10-25,36288.0,27.86,184.46,1.846404494382025,11.84,0.45,627.76,2130
2001-10-26,36288.0,11.06,81.66,1.859157303370789,4.13,0.08,607.8,2120
2001-10-27,35942.4,3.6,112.8,1.871910112359553,5.34,-0.39,594.84,2220
2001-10-28,35942.4,4.675000000000001,241.96,1.8846629213483168,8.92,-2.62,508.53,2300
2001-10-29,35596.8,5.75,191.1,1.8974157303370809,9.45,1.4,672.51,2260
2001-10-30,35596.8,6.825,241.86,1.910168539325845,7.68,-3.99,452.74,2210
2001-10-31,35251.2,7.9,161.53,1.9229213483146088,10.32,0.5,628.87,2160
2001-11-01,35251.2,2.62,137.7,1.9356741573033727,13.72,6.8,984.27,2120
2001-11-02,34905.6,1.455,169.03,1.9484269662921367,13.86,6.48,963.71,2020
2001-11-03,34905.6,0.29,155.48,1.9611797752809008,10.64,4.12,813.05,1930
2001-11-04,34560.0,3.698,164.87,1.9739325842696647,8.69,1.76,698.18,1820
2001-11-05,34560.0,7.106,237.48,1.9866853932584285,8.94,-4.04,447.31,1740
2001-11-06,34218.48,10.514,220.01,1.9994382022471926,12.54,0.81,639.09,1630
2001-11-07,34214.4,13.921999999999999,203.95,2.0121910112359567,12.32,2.07,709.69,1500
2001-11-08,33899.23,17.33,125.28,2.0249438202247205,8.35,0.85,641.24,1430
2001-11-09,33868.8,0.99,174.9,2.0376966292134844,7.53,-1.47,550.89,1420
2001-11-10,33671.27,1.41,176.59,2.0504494382022482,6.43,-1.95,532.37,1370
2001-11-11,33523.2,1.8299999999999998,172.18,2.063202247191012,5.5,-2.59,506.54,1350
2001-11-12,33469.63,2.25,193.16,2.075955056179776,7.82,-2.28,517.56,1300
2001-11-13,33177.6,2.67,151.35,2.08870786516854,9.99,0.98,646.49,1250
2001-11-14,33177.0,2.346,105.38,2.1014606741573036,11.23,6.27,945.93,1180
2001-11-15,32862.43,2.0220000000000002,116.61,2.1142134831460675,14.07,8.39,1110.83,1120
2001-11-16,32832.0,1.6980000000000002,192.56,2.1269662921348313,13.5,1.9,710.91,1050
2001-11-17,32711.64,1.374,195.03,2.139719101123595,9.06,-2.6,508.2,1010
2001-11-18,32486.4,1.05,137.52,2.152471910112359,11.8,4.09,816.82,948
2001-11-19,32485.79,10.68,136.06,2.165224719101123,11.41,0.77,640.0,893
